name,nsclc_mskcc_2018p14,nsclc_mskcc_2018p72,nsclc_mskcc_2018p38,nsclc_mskcc_2018p42,nsclc_mskcc_2018p15,nsclc_mskcc_2018p67,nsclc_mskcc_2018p46,nsclc_mskcc_2018p27,nsclc_mskcc_2018p28,nsclc_mskcc_2018p36,nsclc_mskcc_2018p29,nsclc_mskcc_2018p41,nsclc_mskcc_2018p63,nsclc_mskcc_2018p18,nsclc_mskcc_2018p25,nsclc_mskcc_2018p16,nsclc_mskcc_2018p53,nsclc_mskcc_2018p54,nsclc_mskcc_2018p71,nsclc_mskcc_2018p69,nsclc_mskcc_2018p4,nsclc_mskcc_2018p47,nsclc_mskcc_2018p65,nsclc_mskcc_2018p49,nsclc_mskcc_2018p64,nsclc_mskcc_2018p21,nsclc_mskcc_2018p60,nsclc_mskcc_2018p23,nsclc_mskcc_2018p35,nsclc_mskcc_2018p10,nsclc_mskcc_2018p31,nsclc_mskcc_2018p17,nsclc_mskcc_2018p59,nsclc_mskcc_2018p8,nsclc_mskcc_2018p13,nsclc_mskcc_2018p62,nsclc_mskcc_2018p75,nsclc_mskcc_2018p19,nsclc_mskcc_2018p34,nsclc_mskcc_2018p12,nsclc_mskcc_2018p68,nsclc_mskcc_2018p50,nsclc_mskcc_2018p6,nsclc_mskcc_2018p37,nsclc_mskcc_2018p33,nsclc_mskcc_2018p5,nsclc_mskcc_2018p26,nsclc_mskcc_2018p51,nsclc_mskcc_2018p48,nsclc_mskcc_2018p3,nsclc_mskcc_2018p9,nsclc_mskcc_2018p22,nsclc_mskcc_2018p43,nsclc_mskcc_2018p73,nsclc_mskcc_2018p55,nsclc_mskcc_2018p52,nsclc_mskcc_2018p56,nsclc_mskcc_2018p11,nsclc_mskcc_2018p20,nsclc_mskcc_2018p32,nsclc_mskcc_2018p24,nsclc_mskcc_2018p57,nsclc_mskcc_2018p30,nsclc_mskcc_2018p40,nsclc_mskcc_2018p1,nsclc_mskcc_2018p74,nsclc_mskcc_2018p7,nsclc_mskcc_2018p2
NEST:95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:108,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
NEST:115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NEST:122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:127,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,2,0,2,1,1,0,1,1,0,2,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,2,0,1,1,1,1
NEST:132,0,0,0,0,0,3,1,0,1,0,1,3,0,2,1,0,1,2,0,1,1,1,0,1,0,1,2,0,1,1,1,0,1,2,0,2,2,1,0,2,0,1,1,1,2,0,1,1,0,0,2,0,0,1,1,1,0,1,1,1,0,1,1,0,3,2,2,1
NEST:138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
NEST:137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:143,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1
NEST:152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:156,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1
NEST:162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
